"호봉","소장","준장","대령","중령","소령","대위","중위","소위","준위","원사","상사","중사","하사"
"1","5346400","5043700","4094500","3599200","2965300","2411900","1871200","1710000","2230300","3127700","2163200","1744800","1661200"
"2","5478600","5174700","4232200","3736800","3099700","2538600","1977400","1810800","2336400","3227700","2259100","1834500","1689600"
"3","5610800","5305700","4369900","3874400","3234100","2665300","2083600","1911600","2442500","3327700","2355000","1924200","1718000"
"4","5743000","5436700","4507600","4012000","3368500","2792000","2189800","","2548600","3427700","2450900","2013900","1746400"
"5","5875200","5567700","4645300","4149600","3502900","2918700","2296000","","2654700","3527700","2546800","2103600","1774800"
"6","6007400","5698700","4783000","4287200","3637300","3045400","2402200","","2760800","3627700","2642700","2193300","1803200"
"7","6139600","5829700","4920700","4424800","3771700","3172100","2508400","","2866900","3727700","2738600","2283000","1831600"
"8","6271800","5960700","5058400","4562400","3906100","3298800","","","2973000","3827700","2834500","2372700","1860000"
"9","6404000","6091700","5196100","4700000","4040500","3425500","","","3079100","3927700","2930400","2462400","1888400"
"10","6536200","6222700","5333800","4837600","4174900","3552200","","","3185200","4027700","3026300","2552100","1916800"
"11","6668400","6353700","5471500","4975200","4309300","3678900","","","3291300","4127700","3122200","2641800",""
"12","6800600","6484700","5609200","5112800","4443700","3805600","","","3397400","4227700","3218100","2731500",""
"13","6932800","6615700","5746900","5250400","4578100","","","","3503500","4327700","3314000","2821200",""
"14","","","5884600","5388000","4712500","","","","3609600","4427700","3409900","2910900",""
"15","","","6022300","5525600","","","","","3715700","4527700","3505800","3000600",""
"16","","","","","","","","","3821800","","3601700","3090300",""
"17","","","","","","","","","3927900","","3697600","3180000",""
"18","","","","","","","","","4034000","","3793500","3269700",""
"19","","","","","","","","","4140100","","3889400","3359400",""
"20","","","","","","","","","4246200","","","3449100",""
"21","","","","","","","","","4352300","","","3538800",""
"22","","","","","","","","","4458400","","","3628500",""
"23","","","","","","","","","4564500","","","",""
"24","","","","","","","","","4670600","","","",""
"25","","","","","","","","","4776700","","","",""
"26","","","","","","","","","4882800","","","",""
"27","","","","","","","","","4988900","","","",""
